HyLogger,Scan_Date,Dataset_file,Quartz_8625_mean,Quartz_8625_stddev,samples,sample_type
HyLogger 3-2,2021-06-15 08:11:35,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-June2021-2021_06_15-TestRocks_2_tsgtray_tir,8627.192383,0.431621,7,Pure Quartz
HyLogger 3-2,2021-06-17 15:45:47,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-June2021-2021_06_17-TestRockspm_1_tsgtray_tir,8627.367188,0.381521,7,Pure Quartz
HyLogger 3-2,2021-06-17 08:03:16,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-June2021-2021_06_17-TestRocks_1_tsgtray_tir,8627.201172,0.435664,7,Pure Quartz
HyLogger 3-2,2021-06-18 15:16:25,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-June2021-2021_06_18-TestRockspm_1_tsgtray_tir,8627.426758,0.467830,7,Pure Quartz
HyLogger 3-2,2021-06-18 08:04:07,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-June2021-2021_06_18-TestRocks_1_tsgtray_tir,8627.194336,0.422565,7,Pure Quartz
HyLogger 3-2,2021-06-21 15:46:30,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-June2021-2021_06_21-TestRockspm_1_tsgtray_tir,8627.375000,0.482906,7,Pure Quartz
HyLogger 3-2,2021-06-21 08:22:24,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-June2021-2021_06_21-TestRocks_2_tsgtray_tir,8627.280273,0.575349,7,Pure Quartz
HyLogger 3-2,2021-06-22 15:33:31,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-June2021-2021_06_22-TestRockspm_1_tsgtray_tir,8627.419922,0.468785,7,Pure Quartz
HyLogger 3-2,2021-06-22 08:05:02,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-June2021-2021_06_22-TestRocks_1_tsgtray_tir,8627.102539,0.456984,8,Pure Quartz
HyLogger 3-2,2021-06-24 15:44:13,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-June2021-2021_06_24-TestRockspm_1_tsgtray_tir,8627.429688,0.464265,8,Pure Quartz
HyLogger 3-2,2021-06-24 08:12:53,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-June2021-2021_06_24-TestRocks_1_tsgtray_tir,8627.250000,0.401321,7,Pure Quartz
HyLogger 3-2,2021-06-25 14:41:29,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-June2021-2021_06_25-TestRockspm_1_tsgtray_tir,8627.374023,0.476165,7,Pure Quartz
HyLogger 3-2,2021-06-25 08:10:09,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-June2021-2021_06_25-TestRocks_1_tsgtray_tir,8627.178711,0.480742,7,Pure Quartz
HyLogger 3-2,2021-06-28 15:41:14,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-June2021-2021_06_28-TestRockspm_1_tsgtray_tir,8627.371094,0.493057,7,Pure Quartz
HyLogger 3-2,2021-06-28 08:08:49,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-June2021-2021_06_28-TestRocks_1_tsgtray_tir,8627.127930,0.448294,7,Pure Quartz
HyLogger 3-2,2021-06-29 08:01:14,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-June2021-2021_06_29-TestRocks_1_tsgtray_tir,8627.310547,0.439949,7,Pure Quartz
HyLogger 3-5,2021-03-26 09:06:46,C:\Lingbo\IanLau\runtsg\working\TestRocks_1_tsgtray_tir,8630.577148,0.388553,6,Pure Quartz
HyLogger 3-4,2021-09-06 08:06:26,C:\Lingbo\IanLau\runtsg\working\Testrocks_20210906_am-Testrocks_20210906_am_1_tsgtray_tir,8629.093750,0.611929,14,Pure Quartz
HyLogger 3-4,2021-09-07 07:57:01,C:\Lingbo\IanLau\runtsg\working\Testrocks_20210907_am-Testrocks_20210907_am_1_tsgtray_tir,8629.025391,0.620375,14,Pure Quartz
